borough,developmen,tds_num,Latitude,Longitude,scores_SCORE,NYCHA-data_CONSOLIDATED TDS#,NYCHA-data_NUMBER OF CURRENT APARTMENTS,NYCHA-data_TOTAL NUMBER OF APARTMENTS,NYCHA-data_NUMBER OF RENTAL ROOMS,NYCHA-data_AVG NO R/R PER APARTMENT,NYCHA-data_POPULATION PUBLIC HOUSING,NYCHA_data_TOTALPOPULATION,NYCHA-data_TOTAL # OF FIXED INCOME HOUSEHOLD,NYCHA-data_PERCENT FIXED INCOME HOUSEHOLDS,NYCHA-data_NUMBER OF RESIDENTIAL BLDGS,NYCHA-data_NUMBER OF NON-RESIDENTIAL BLDGS,NYCHA-data_PER RENTAL ROOM,NYCHA-data_AVG MONTHLY GROSS RENT
BRONX,PATTERSON,24,40.8139,-73.923776,0.681617990426667,24,"1,789","1,791","8,508.5",4.76,"4,194","4,194",627,0.355,15,0,"$2,433.00",$519.00
BRONX,PELHAM PARKWAY,39,40.860562,-73.860946,0.396857337541667,39,"1,265","1,266","5,446.5",4.31,"2,472","2,472",528,0.422,23,0,"$2,806.00",$541.00
BROOKLYN,PENNSYLVANIA AVENUE-WORTMAN AVENUE,194,40.656598,-73.888025,0.724771065619048,194,336,336,"1,343.0",4,627,627,145,0.438,3,1,"$8,606.00",$462.00
BROOKLYN,PINK,89,40.667409,-73.865105,0.3630714022,89,"1,500","1,500","7,098.0",4.73,"3,651","3,651",471,0.317,22,2,"$2,835.00",$557.00
MANHATTAN,POLO GROUNDS TOWERS,149,40.830991,-73.937823,0.662118752166667,149,"1,614","1,614","7,682.0",4.76,"3,941","3,941",581,0.365,4,4,"$4,190.00",$545.00
QUEENS,POMONOK,53,40.7334,-73.812668,0.735205451333333,53,"2,069","2,071","8,838.5",4.27,"4,219","4,219",839,0.409,35,0,"$2,446.00",$563.00
MANHATTAN,PUBLIC SCHOOL 139 (CONVERSION),340,40.817474,-73.939993,0.570730757766667,111,125,125,423.5,3.39,140,140,100,0.813,1,0,"$18,348.00",$393.00
QUEENS,QUEENSBRIDGE NORTH,505,40.755885,-73.944253,0,505,"1,542","1,543","6,337.0",4.11,"3,129","3,129",582,0.382,13,1,"$1,010.00",$556.00
QUEENS,QUEENSBRIDGE SOUTH,5,40.75513,-73.946657,0,5,"1,603","1,604","6,625.5",4.13,"3,284","3,284",610,0.387,13,2,"$1,057.00",$521.00
BROOKLYN,RALPH AVENUE REHAB,352,40.666224,-73.923023,0.758101674066667,167,118,118,529.0,4.48,284,284,26,0.22,5,0,"$12,693.00",$574.00
BRONX,RANDALL AVENUE-BALCOM AVENUE,245,40.822076,-73.828127,0,63,251,252,823.5,3.28,276,276,217,0.886,3,0,"$10,757.00",$354.00
BRONX,SOUNDVIEW,71,40.816913,-73.867576,0.718056364083333,71,"1,258","1,259","5,863.0",4.66,"2,901","2,901",493,0.396,13,2,"$2,308.00",$500.00
MANHATTAN,RANGEL,37,40.83321,-73.936474,0.519810907533333,37,982,984,"4,515.0",4.6,"2,141","2,141",339,0.357,8,0,"$2,373.00",$573.00
QUEENS,RAVENSWOOD,48,40.761277,-73.935457,0.848090875595238,48,"2,164","2,166","9,134.0",4.22,"4,278","4,278",871,0.406,31,0,"$2,342.00",$588.00
BROOKLYN,RED HOOK EAST,4,40.675234,-74.004274,0.797546114466667,4,"1,404","1,411","5,888.0",4.19,"2,832","2,832",540,0.396,16,3,,$525.00
